PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Zhaire Smith,PHI,19,6,6,100%,14,34,41.2,50.0,52.9%,8,18,44.4,47.1%,6,16,37.5
Zaza Pachulia,DET,35,68,62,100%,85,193,44.0,44.0,97.9%,85,189,45.0,2.1%,0,4,0.0
Zach LaVine,CHI,24,62,62,100%,517,1113,46.5,51.8,71.5%,399,796,50.1,28.5%,118,317,37.2
Zach Collins,POR,21,77,77,100%,188,396,47.5,52.5,69.4%,148,275,53.8,30.6%,40,121,33.1
Yuta Watanabe,MEM,24,15,14,100%,15,51,29.4,31.4,68.6%,13,35,37.1,31.4%,2,16,12.5
Yogi Ferrell,SAC,25,71,69,100%,153,351,43.6,51.3,57.5%,99,202,49.0,42.5%,54,149,36.2
Yante Maten,MIA,22,2,2,100%,1,4,25.0,25.0,75.0%,1,3,33.3,25.0%,0,1,0.0
Wilson Chandler,LAC,31,50,49,100%,113,269,42.0,52.8,42.8%,55,115,47.8,57.2%,58,154,37.7
Willy Hernangomez,CHA,24,58,57,100%,153,298,51.3,53.9,86.9%,138,259,53.3,13.1%,15,39,38.5
Willie Cauley-Stein,SAC,25,81,80,100%,412,742,55.5,55.6,99.7%,411,740,55.5,0.3%,1,2,50.0
Will Barton,DEN,28,43,43,100%,177,443,40.0,47.0,58.2%,115,258,44.6,41.8%,62,185,33.5
Wesley Matthews,IND,32,69,69,100%,279,699,39.9,50.6,42.3%,129,296,43.6,57.7%,150,403,37.2
Wesley Johnson,WAS,31,38,37,100%,45,128,35.2,44.9,40.6%,20,52,38.5,59.4%,25,76,32.9
Wes Iwundu,ORL,24,68,65,100%,113,274,41.2,46.5,71.2%,84,195,43.1,28.8%,29,79,36.7
Wendell Carter Jr.,CHI,20,43,43,100%,176,365,48.2,49.0,91.2%,170,333,51.1,8.8%,6,32,18.8
